Project container	Original file name visible / known	Linked to	Layer map	Role	My raw meaning of file	Use	Why needed there	Actual contains now / expected content	Current problem if any	What should happen	Status	Demo or not	Word / Concept	Problem with word	Possible better word	Keep / Reject / Review	Why
Unreal to Real	00_Project_Scope.md	00_Master_Index	Parent control	Defines total project boundary	“What Unreal to Real is allowed to hold”	Prevents drift	Needed before files expand	Scope, limits, allowed layers	None major	Keep linked as master control	Accepted	No	Unreal to Real	Broad but strong	Parent System	Keep	Parent name already works
Unreal to Real	01_Master_Project_Map.md	00_Master_Index	Parent map	Shows main project/folder map	“Where each layer sits”	Navigation	Needed to stop random file placement	Master structure/map	Must stay updated when links change	Update only when approved	Accepted	No	Master Map	Can become outdated	Master Control Map	Keep	Needed for orientation
Unreal to Real	02_Sub_Project_List.md	00_Master_Index	Sub-layer list	Lists RD, URR, Final Theory, demos, etc.	“Which parts exist under parent”	Separates active vs future	Needed to avoid treating everything as separate product	Sub-project status list	Old loose names may still appear	Mark old names archive/source only	Accepted	No	Sub-project	Can make too many projects	Layer / Module	Review	User now wants fewer projects
Unreal to Real	03_Output_Index.md	00_Master_Index	Output tracking	Tracks completed outputs/files	“What has been produced”	Prevent duplicate work	Needed to know accepted vs draft	Output list/status	Needs continuous status discipline	Keep updated after accepted files	Accepted / Updated	No	Output	Too generic	Output Index	Keep	Practical tracking word
Unreal to Real	04_Risk_and_Fact_Check_Index.md	00_Master_Index	Risk / verification	Master risk + fact-check file	“What can be claimed safely”	Blocks overclaim	Needed because Final Theory/Sourceborn are high-risk if public	Risk categories, fact-check status	May overlap with RD risk file	Keep as master-level risk, not RD duplicate	Accepted / Complete	No	Risk / Fact Check	“Fact-check” not for all theory parts	Verification Index	Review	Good, but theory needs review labels too
Unreal to Real	05_Daily_Raw_Source_Ledger.md	00_Master_Index	Source/status ledger	Daily/source/status tracker	“What changed and what is raw carryover”	Maintains continuity	Needed because chats drift	Accepted status, raw carryover, links	Can become too long	Keep only status/control, not full theory	Accepted / Updated	No	Raw Source Ledger	“Daily” may not always fit	Source Ledger	Review	Useful but name may be too time-based
Unreal to Real	06_Next_Action_List.md	00_Master_Index	Next-action control	Controls next safe step	“What should happen next, and what must stay blocked”	Prevents random build/demo/public work	Needed because project can branch too much	Next actions, blocked items	None major	Keep current	Accepted / Updated	No	Next Action	Clear	Next Action Control	Keep	Strong control file
Unreal to Real	01_Raw_Theory_Log.md	03_Final_Theory_Source	Final Theory source	Stores raw theory entries	“My raw theory before AI cleans it”	Preserve raw wording	Needed so Final Theory is not overwritten by safer wording	Raw theory chain RT-0001 etc.	Name conflicts with newer 01_Final_Theory_Raw_Source_Log.md direction	Do not delete; map as old/raw theory file or rename only after approval	Review-stage	No	Raw Theory	Could sound unverified	Final Theory Raw Source	Review	Needs source preservation but safer label
Unreal to Real	02_Theory_Pattern_Map.md	03_Final_Theory_Source	Pattern map	Maps raw theory into patterns	“Hidden structure inside theory”	Find repeated logic	Needed before definitions/output	TP-0001 pattern chain	Old naming may be less aligned with Sourceborn	Keep as Final Theory support file	Review-stage	No	Theory Pattern	Can sound abstract	Source Pattern Map	Review	Better if linked to Sourceborn later
Unreal to Real	03_Theory_Category_Dictionary.md	03_Final_Theory_Source	Category dictionary	Defines theory categories	“Buckets for theory pieces”	Stops mixing mystery, invention, proof, belief	Needed for sorting	TC-0001 categories	May overlap RD category dictionary	Keep separate from RD category file	Review-stage	No	Category	Generic	Theory Category Dictionary	Keep	Practical internal file
Unreal to Real	04_Theory_Brief_Bank.md	03_Final_Theory_Source	Brief bank	Stores short theory briefs	“Theory in compact form”	Useful for review	Needed before public-safe rewrite	TB-0001 briefs	Brief can over-polish raw meaning	Use only after raw log is preserved	Review-stage	No	Brief	May compress too early	Theory Summary Bank	Review	Useful but controlled
