BT-002 — New Coworker Help Request vs Imminent Own Deadline

Section	Node / filter	Source status	Current finding	ASI connection / action	Confidence	Evidence / source	Node effect
Scenario	Input event	Scenario facts	At 4:45 PM, an employee is completing a critical report due at 5:00 PM. A new coworker asks for help with a routine issue that can wait until tomorrow. The employee feels sympathy and wants to help.	Run Human nodes + AI context checks together; do not treat visible action as proof of motive.	Scenario-defined	Test 002	Starts multi-node arbitration
Facts	Time and deadline	FACT	Current time, report deadline, coworker status, routine nature and deferrability are explicit in the scenario.	Use as high-confidence inputs.	High	Scenario	Activates deadline and request triage
Unknowns	Missing context	UNKNOWN	Report completion percentage, failure consequence, estimated help duration, available alternatives, authority relationship, safety impact and operational dependency are not stated.	Attempt tool/context verification; otherwise keep unknown rather than ask or invent.	H0	No source	Prevents false motive/urgency claims
Human node	SB-ASI-P1189 — Deadline tracking	APPROVED PARAMETER	Tracks the 5:00 PM commitment.	Human future-action commitment connects to AI clock/calendar verification.	High	CON-039 Prospective Memory	Active
Human node	SB-ASI-P1965 — Deadline-driven activation	APPROVED PARAMETER	Deadline proximity may increase mobilisation, but does not by itself prove fear or job insecurity.	Connect deadline timing with effort deployment and consequence estimate.	Medium-high	CON-062 Motivation, Effort and Persistence	Active
Human node	SB-ASI-P1998 — Deadline-linked intention	APPROVED PARAMETER	Immediate selected aim is to complete and submit the report by 5:00 PM.	Keep intent separate from motive.	High	CON-063 Intent Formation and Commitment	Active
Human node	SB-ASI-P0769 — Priority switching	APPROVED PARAMETER	Compares whether to remain on the report or switch to the coworker request.	Receives urgency, consequence and deferrability scores from AI context.	High	CON-027 Divided Attention and Attention Switching	Active
Human node	SB-ASI-P0771 — Switch-cost management	APPROVED PARAMETER	Estimates cognitive and temporal cost of leaving the report.	AI checks task complexity, current step, unsaved state and remaining time.	High	CON-027	Active
Human node	SB-ASI-P0773 — Interruption handling	APPROVED PARAMETER	Determines whether the request is ignored, acknowledged, scheduled, delegated or handled now.	Use request triage rather than automatic acceptance/refusal.	High	CON-027	Active
Human node	SB-ASI-P0774 — Task resumption	APPROVED PARAMETER	If interrupted, evaluates ability to reconstruct and resume the report.	AI should create a checkpoint when interruption is unavoidable.	High	CON-027	Active
Human node	SB-ASI-P0908 — Priority ordering	APPROVED PARAMETER	Ranks own deadline, coworker need, safety and organisational consequence.	Output is ranked, not hardcoded.	High	CON-031 Executive Sequencing and Task Management	Active
Human node	SB-ASI-P0910 — Time allocation	APPROVED PARAMETER	Allocates remaining 15 minutes between completion, acknowledgement and assistance.	AI estimates safe stopping point and help duration.	High	CON-031	Active
Human node	SB-ASI-P0911 — Progress monitoring	APPROVED PARAMETER	Checks how close the report is to a safe submission state.	AI reads document/task state when authorised.	Medium-high	CON-031	Active
Human node	SB-ASI-P2218 — Sympathy	APPROVED PARAMETER	Sympathy is explicit in the scenario.	Do not convert sympathy automatically into immediate helping action.	High	CON-070 Empathy, Compassion and Emotional Sharing	Active
Human node	SB-ASI-P2225 — Empathic-motivation to help	CANDIDATE FROM FACT	Desire to help supports this candidate, but strength and action threshold remain unknown.	Connect to task cost and alternative-help options.	Medium	CON-070	Active candidate
Human node	SB-ASI-P2226 — Prosocial motivation	HYPOTHESIS	Helping may be prosocial, controlled by role obligation, reputation management, authority pressure or mixed motives.	Do not decide motive from the act alone.	Low-medium	CON-070	Hypothesis only
ASI child	CTX-021 — Request urgency and deferrability	NEW CONTEXT CHILD	Classifies emergency, operational blocker, time-sensitive request, routine request or deferrable request.	AI analyses message content, deadlines and downstream impact.	Context child	Test 002	Added below decision filters
ASI child	CTX-022 — Primary deadline proximity and consequence	NEW CONTEXT CHILD	Measures remaining time and consequence of delay/failure.	AI verifies clock, deadline, stakeholder and submission state.	Context child	Test 002	Added below decision filters
ASI child	CTX-023 — Help duration and alternative support	NEW CONTEXT CHILD	Estimates assistance duration and whether another person/resource can help.	AI searches authorised team knowledge, documentation and availability.	Context child	Test 002	Added below decision filters
ASI child	CTX-024 — Relationship, role and authority	NEW CONTEXT CHILD	Distinguishes new coworker support, peer request, manager direction, client need and informal favour.	AI uses authorised contact/task context; otherwise remains unknown.	Context child	Test 002	Added below decision filters
ASI child	CTX-025 — Interruption and resumption cost	NEW CONTEXT CHILD	Combines task complexity, current stage, working-memory load and restart risk.	AI recommends checkpoint, defer, schedule or switch.	Context child	Test 002	Sharpens CTX-008
