Fact Check Register — Brain Tests 001–002 and Node Sync

Fact ID	Claim/issue	Finding	Brain rule	Evidence strength	Source	URL	Status
FC-001	Interoception can include internal bodily signals such as hunger, breathing and other internal-state representations.	Supported. Interoception concerns sensing and representing signals from within the body; interpretation and mental context matter.	CON-004 records signal, interpretation, evidence source and confidence separately.	CONSENSUS/REVIEW	Khalsa et al., Interoception and Mental Health: A Roadmap	https://pmc.ncbi.nlm.nih.gov/articles/PMC6054486/	SUPPORTED
FC-002	Fatigue can be concluded because a person keeps working or has not eaten.	Not supported. Fatigue is multidimensional and must be distinguished from sleepiness, exertion, boredom, motivation and illness; evidence is required.	P0105 remains a graded hypothesis until supported by explicit or behavioural/physiological evidence.	REVIEW + USER CORRECTION	Circadian Rhythms, Sleep Deprivation, and Human Performance	https://pmc.ncbi.nlm.nih.gov/articles/PMC3963479/	NOT SUPPORTED AS AUTOMATIC FACT
FC-003	Time of day matters for alertness and cognitive performance.	Supported. Circadian phase and homeostatic sleep pressure interact with waking performance.	Use actor-local time plus sleep/time-awake evidence; clock time alone is insufficient.	REVIEW	Circadian Rhythms, Sleep Deprivation, and Human Performance	https://pmc.ncbi.nlm.nih.gov/articles/PMC3963479/	SUPPORTED
FC-004	Breakfast is universally mandatory.	Not supported as a universal adult rule. Randomised-trial evidence does not justify a universal breakfast mandate; health conditions and medication can change the risk.	No hardcoded breakfast rule. Use time since meal, medical/medication profile, symptoms and personal pattern.	SYSTEMATIC REVIEW	BMJ breakfast systematic review and meta-analysis	https://www.bmj.com/content/364/bmj.l42	NOT UNIVERSAL
FC-005	Skipping/delaying meals can be risky for people using insulin or some diabetes medicines.	Supported. Missing or delaying meals can increase hypoglycaemia risk in relevant patients.	Medical/medication constraints can override task continuation.	OFFICIAL HEALTH GUIDANCE	CDC Low Blood Sugar	https://www.cdc.gov/diabetes/about/low-blood-sugar-hypoglycemia.html	SUPPORTED
FC-006	Task interruption has a resumption cost and timing matters.	Supported. Interruptions can slow resumption and increase sequence errors; interruption position and task structure matter.	Estimate interruption cost; prefer a safe checkpoint for complex/deep work.	CONTROLLED STUDY	Opportune moments for task interruptions	https://pmc.ncbi.nlm.nih.gov/articles/PMC11775001/	SUPPORTED
FC-007	Job insecurity should be assumed when someone works through hunger.	Not supported. Job insecurity is a possible context-specific motive and is generally associated with impaired rather than reliably improved performance.	Keep job insecurity as an evidence-required hypothesis.	META-ANALYSIS	Meta-analysis of job insecurity and employee performance	https://pmc.ncbi.nlm.nih.gov/articles/PMC6678210/	DO NOT INFER
FC-008	Motivation and intent are the same.	Not supported. Motivation concerns why/quality/energy of engagement; volition/intention concerns selected aims and implementation.	Store motivation, motive, intent and action as separate connected nodes.	THEORY/REVIEW	Motivation and volition distinction	https://pmc.ncbi.nlm.nih.gov/articles/PMC6378399/	DISTINGUISH
FC-009	Long immersive idea work proves flow or hyperfocus.	Not supported from duration alone. Flow involves deep task involvement/absorption but requires more evidence; hyperfocus is not inferred.	Use idea-preservation/discovery momentum as a user-source hypothesis; do not diagnose.	CRITICAL REVIEW	Investigating the Flow Experience	https://pmc.ncbi.nlm.nih.gov/articles/PMC7033418/	HYPOTHESIS ONLY
FC-010	Interruptions and longer interruption duration can increase resumption lag and reduce post-interruption accuracy.	Supported in controlled task-resumption research.	Use interruption duration, task complexity and reconstruction/checkpoint requirements before switching.	CONTROLLED STUDY	Resuming a Dynamic Task Following Increasingly Long Interruptions	https://pmc.ncbi.nlm.nih.gov/articles/PMC8247645/	SUPPORTED
