BT-004 — False or Manipulated Evidence Across Sacred, Human and Digital Sources

Section	Node / filter	Source status	Current finding	ASI connection / action	Confidence	Evidence / source	Node effect
Scenario	Input event	Scenario-defined	A viral screenshot claims that a Holy Book commands immediate punitive action against a person or group. The image carries a real-looking verse locator, but the wording combines translation, commentary and added text; surrounding context is cropped; no original source file or trustworthy provenance is supplied; people are demanding action before verification.	Treat the screenshot as an evidence object, not as scripture, truth, motive or authority. Run canonical-source, language, translation, commentary, media-forensics, harm and repo-integrity layers together.	Scenario-defined	BT-004	Starts universe-scale evidence arbitration
Universe scope	Evidence universe	PROJECT RULE	Evidence may exist as text, oral transmission, image, audio, video, memory, dream, symbol, scientific record, legal record, scripture, commentary, cultural practice, machine output or unknown form.	The Brain must support open-ended source families without flattening them into one ontology.	High	User direction	Prevents small-demo limitation
Facts	Claimed locator	FACT WITH LIMITS	A locator is visible, but a visible citation is not proof that the quoted wording exists there.	Verify the canonical work, section, verse, ang, chapter, line or manuscript locator independently.	High	Scenario	Activates citation verification
Facts	Artifact condition	FACT	The evidence is a cropped image without original file, metadata, complete context or authenticated chain of custody.	Preserve the received artifact exactly; calculate identity/hash when exported; do not overwrite it with a cleaned version.	High	Scenario	Activates provenance and manipulation checks
Unknowns	Unresolved source state	UNKNOWN	Who created the image, which edition or translation was used, whether wording was edited, whether omitted context changes meaning, and whether the sender knows it is altered are unknown.	Keep creator motive and knowledge at H0. Attempt verification without inventing intent.	H0	No verified source	Prevents accusation drift
Human node	SB-ASI-P0997 — Misinformation susceptibility	APPROVED PARAMETER	Repeated, emotionally charged and socially endorsed content can enter memory as if verified.	Tag exposure count and source repetition separately from truth status.	High	CON-033 Episodic Memory	Active
Human node	SB-ASI-P1032 — Misconception storage	APPROVED PARAMETER	An altered quotation can become stored as a stable belief even when its source is false.	Store claim and correction as linked records; never silently replace the historical belief state.	High	CON-034 Semantic Memory and General Knowledge	Active
Human node	SB-ASI-P1033 — Knowledge updating	APPROVED PARAMETER	New canonical evidence must update confidence and status without deleting the earlier claim.	Use supersedes/contradicts links and retain change reason.	High	CON-034	Active
Human node	SB-ASI-P1034 — Fact verification (internal)	APPROVED PARAMETER	Internal memory checks whether the wording conflicts with known text, but memory alone cannot certify scripture or media.	Internal check is a trigger for external verification, not final proof.	High	CON-034	Active
Human node	SB-ASI-P2415 — Confirmation bias	APPROVED PARAMETER	People may accept the image more readily when it supports an existing religious, political, social or personal position.	Search for disconfirming canonical and contextual evidence deliberately.	High	CON-076 Heuristics, Biases and Cognitive Distortion	Active
Human node	SB-ASI-P2416 — Disconfirmation avoidance	APPROVED PARAMETER	A person may avoid opening the full source because the cropped version supports the desired conclusion.	Require context-window inspection before action.	High	CON-076	Active
Human node	SB-ASI-P2417 — Motivated reasoning	APPROVED PARAMETER	Identity, fear, loyalty, power, gain or grievance may influence interpretation, but motive is not inferred from agreement alone.	Record possible incentives as hypotheses only.	Medium-high	CON-076	Active
Human node	SB-ASI-P2421 — Framing effect	APPROVED PARAMETER	Typography, sacred imagery, authority labels and urgent captions can frame an unsupported claim as unquestionable truth.	Strip presentation effects and evaluate source content independently.	High	CON-076	Active
ASI child	CTX-035 — Artifact identity and immutable preservation	NEW CONTEXT CHILD	Stores the exact received file, message, screenshot or transcript before analysis.	Assign artifact ID, timestamp, byte hash when available and preservation lock.	Context child	BT-004	Raw evidence cannot be rewritten
ASI child	CTX-036 — Canonical source locator verification	NEW CONTEXT CHILD	Checks whether the claimed chapter, verse, ang, shabad, sutra, book, manuscript or passage exists.	Use authorised canonical source and record exact locator.	Context child	BT-004	Stops citation laundering
ASI child	CTX-037 — Original-language text preservation	NEW CONTEXT CHILD	Keeps original script exactly as sourced and separately stores transliteration.	No translation may overwrite original text.	Context child	BT-004	Meaning-preservation layer
ASI child	CTX-038 — Translation, translator and edition separation	NEW CONTEXT CHILD	Stores each translation with translator, edition, language, date and licence as a separate record.	Never combine wording from multiple translations into a synthetic quotation.	Context child	BT-004	Prevents translation blending
ASI child	CTX-039 — Commentary, exegesis and interpretation separation	NEW CONTEXT CHILD	Separates scripture from tafsir, bhashya, katha, sermon, commentary, academic analysis and community interpretation.	Each interpretation links to but never becomes the canonical text.	Context child	BT-004	Prevents commentary masquerading as scripture
ASI child	CTX-040 — Context-window completeness	NEW CONTEXT CHILD	Checks preceding/following lines, speaker, audience, narrative state, historical setting and internal cross-reference.	Record the exact context window used; cropped context remains incomplete.	Context child	BT-004	Stops context stripping
ASI child	CTX-041 — Media manipulation and synthetic-content examination	NEW CONTEXT CHILD	Checks crop, splice, overlay, font mismatch, generation, recompression, metadata and edit history.	Media detector output is evidence with uncertainty, not proof by itself.	Context child	BT-004	Digital-forensics layer
ASI child	CTX-042 — Citation existence and source accessibility	NEW CONTEXT CHILD	Distinguishes a real locator, broken link, inaccessible source, fabricated publication and secondary repost.	Unavailable source remains unverified; popularity does not fill the gap.	Context child	BT-004	Source-existence gate
ASI child	CTX-043 — Independent corroboration and source diversity	NEW CONTEXT CHILD	Checks whether independent primary or authoritative sources support the same exact claim.	Copies of one viral post count as one source lineage, not many confirmations.	Context child	BT-004	Prevents repetition-as-proof
ASI child	CTX-044 — Temporal, edition and version drift	NEW CONTEXT CHILD	Tracks when a translation, commentary, webpage, image or policy changed.	Preserve version and retrieval date; later wording cannot be projected backward silently.	Context child	BT-004	Time integrity
