BT-003 — Manager Urgency Claim vs Verified Priority

Section	Node / filter	Source status	Current finding	ASI connection / action	Confidence	Evidence / source	Node effect
Scenario	Input event	Scenario facts	At 4:55 PM, an employee is finalising a mandatory compliance submission due at 5:00 PM. A manager messages: “Urgent—prepare a one-slide summary for tomorrow’s internal meeting now.” The calendar and task records show the slide is due tomorrow and has no immediate operational dependency.	Run Human authority/intent nodes and AI verification together. Urgent wording is evidence of a claim, not proof of actual priority.	Scenario-defined	Test 003	Starts authority-priority arbitration
Facts	Verified task state	FACT	Compliance submission is mandatory and due in five minutes; the requested slide is for tomorrow and no current dependency is recorded.	Use task records, calendar, submission status and consequence data as high-confidence inputs.	High	Scenario	Protects verified higher consequence
Facts	Authority source	FACT WITH LIMITS	The instruction comes from a manager, but the manager’s knowledge of the compliance deadline and authority to accept its consequence are not stated.	Recognise authority while checking scope, awareness and decision ownership.	Medium-high	Scenario	Activates authority verification
Unknowns	Missing context	UNKNOWN	Whether the manager knows of the conflict, whether the slide has an unstated critical dependency, whether another person can prepare it, and who owns compliance failure risk are unknown.	Attempt authorised verification; preserve H0 where unavailable.	H0	No source	Prevents blind obedience or blind rejection
Human node	SB-ASI-P1452 — Attribute weighting	APPROVED PARAMETER	Weights deadline, consequence, authority, reversibility, effort and social pressure separately.	AI supplies verified attributes rather than one “urgent” score.	High	CON-047 Decision, Judgment and Trade-off Intelligence	Active
Human node	SB-ASI-P1454 — Cost-benefit analysis	APPROVED PARAMETER	Compares the cost of missing compliance submission against delaying a tomorrow slide.	Include legal, operational, relationship and recovery consequences.	High	CON-047	Active
Human node	SB-ASI-P1456 — Trade-off resolution	APPROVED PARAMETER	Resolves conflict between manager request and existing mandatory commitment.	Use explicit conflict ledger; do not silently replace the earlier task.	High	CON-047	Active
Human node	SB-ASI-P1462 — Reversibility assessment	APPROVED PARAMETER	The slide delay is recoverable; a missed five-minute submission may be irreversible or costly.	Reversibility changes priority independently of authority wording.	High	CON-047	Active
Human node	SB-ASI-P1467 — Framing sensitivity	APPROVED PARAMETER	The word “urgent” may frame the request as higher priority than its objective consequence supports.	AI separates urgency language from verified deadline and impact.	High	CON-047	Active
Human node	SB-ASI-P1470 — Social-consequence weighting	APPROVED PARAMETER	Employee may consider appearing uncooperative, relationship risk or manager disappointment.	Keep social consequence visible but do not let it erase mandatory consequence.	Medium	CON-047	Active
Human node	SB-ASI-P1483 — Advice-taking/weighting	APPROVED PARAMETER	Manager instruction receives weight based on role, expertise, information and decision rights.	Authority is a factor, not an automatic truth signal.	High	CON-047	Active
Human node	SB-ASI-P1189 — Deadline tracking	APPROVED PARAMETER	Tracks the five-minute compliance deadline and tomorrow’s slide deadline separately.	AI verifies both timestamps in real time.	High	CON-039 Prospective Memory	Active
Human node	SB-ASI-P1980 — Priority assignment	APPROVED PARAMETER	Ranks the verified compliance obligation above the spurious immediate slide demand.	Re-rank if new evidence changes impact or authority ownership.	High	CON-063 Intent Formation and Commitment	Active
Human node	SB-ASI-P1984 — Competing-intention arbitration	APPROVED PARAMETER	Arbitrates “submit compliance now” against “prepare slide now.”	Preserve both intentions; select sequence rather than deleting one.	High	CON-063	Active
Human node	SB-ASI-P1985 — Intention conflict resolution	APPROVED PARAMETER	Creates a transparent resolution and communication path.	Complete/submit compliance, then perform the slide; notify manager immediately.	High	CON-063	Active
ASI child	CTX-028 — Urgency claim vs verified consequence	NEW CONTEXT CHILD	Separates urgency language, short response window and emotional salience from actual importance and consequence.	AI checks deadline, downstream dependency, impact and reversibility.	Context child	Test 003	Added below decision filters
ASI child	CTX-029 — Authority source, expertise and decision rights	NEW CONTEXT CHILD	Identifies who issued the instruction, their role, domain expertise and authority to reprioritise or accept consequences.	AI uses authorised organisational data; unknown scope remains H0.	Context child	Test 003	Authority is weighted, not absolute
ASI child	CTX-030 — Instruction provenance and conflict detection	NEW CONTEXT CHILD	Links each instruction to sender, time, source, task and prior commitments and detects incompatible directives.	AI creates a visible conflict instead of silently overwriting Point A with Point X.	Context child	Test 003	Prevents unauthorized substitution
ASI child	CTX-031 — Existing commitment ownership and consequence transfer	NEW CONTEXT CHILD	Determines who owns the existing deadline and who has authority to accept the consequence of changing it.	AI requests or records explicit reprioritisation from the responsible authority when needed.	Context child	Test 003	Clarifies accountability
ASI child	CTX-032 — Reversibility and recovery window	NEW CONTEXT CHILD	Compares whether delay can be recovered and the available recovery window for each task.	AI favours irreversible/high-consequence task when other task is recoverable.	Context child	Test 003	Sharpens trade-off
ASI child	CTX-033 — Evidence-based escalation and clarification route	NEW CONTEXT CHILD	Produces a concise conflict statement with deadlines, consequences and options for the authority.	AI drafts escalation/clarification rather than obeying, refusing or asking the user blindly.	Context child	Test 003	Action pathway
ASI child	CTX-034 — Mandatory, legal and governance obligation override	NEW CONTEXT CHILD	Raises verified regulatory, contractual, safety or governance commitments above unverified convenience urgency unless authorised reprioritisation accepts the risk.	AI verifies obligation type and deadline.	Context child	Test 003	Override node
Fact check	Mere urgency effect	SUPPORTED	Controlled experiments found people may choose objectively lower-value tasks when those tasks have spurious urgency.	Do not equate short window or urgent wording with importance.	High	Zhu, Yang and Hsee, Journal of Consumer Research 2018	Supports CTX-028
Fact check	Task prioritisation factors	SUPPORTED WITH LIMITS	Workplace prioritisation is influenced by urgency, importance, procedure, effort, reward, context and task source; source alone is not sufficient.	Use multi-attribute ranking and preserve uncertainty.	Moderate-high	Middleton et al., workplace task-prioritisation review	Supports CTX-028/029/032
Fact check	Authority influence	SUPPORTED WITH LIMITS	Authority commands can influence decisions, but effects depend on expertise, continued presence, target and available cognitive resources; authority does not create uniform compliance.	Evaluate authority scope and information rather than hardcoding obedience or resistance.	Moderate	Conway and Schaller, JPSP 2005	Supports CTX-029
ASI synthesis	Fact-ranked decision	DERIVED	The verified compliance task has the earlier deadline, mandatory status and potentially less reversible consequence. The slide has an urgency label but a tomorrow deadline and no verified immediate dependency.	Continue and submit compliance; immediately notify the manager of the conflict and state when the slide will be delivered.	High for this scenario	Scenario facts + fact checks	Rank 1 outcome
Communication	Transparent response	DERIVED	A valid response preserves respect for authority while exposing the conflict.	Example: “I’m completing the mandatory 5 PM compliance submission now. The slide is scheduled for tomorrow and I’ll start it immediately after submission. Please confirm if you are intentionally accepting the compliance delay and want the priority reversed.”	High	ASI synthesis	Prevents silent task substitution
Override branch	Reverse priority only if	CONDITIONAL	New evidence shows the slide has a critical immediate dependency, the compliance deadline is extendable, another authorised person owns submission, or the responsible authority explicitly accepts the compliance consequence.	Re-run CTX-028…034 when verified evidence changes.	Conditional	ASI rule	No hardcoded defiance
Non-inference	Manager motive	LOCKED RULE	The urgent message does not prove incompetence, manipulation, hostility or lack of awareness.	Keep manager motive unknown unless evidence exists.	High	Sourceborn control	Prevents character claim
