Node ID	Node class	Exact wording / registered identity	Parent node ID	Side	Segment ID	Container ID	Aligned slot	Active status	Approval status	Source workbook/sheet	Source row	Source preservation	Notes
SYS-001	FUNCTIONAL_SYSTEM	Sourceborn		SYSTEM				ACTIVE	TASK 2 + TASK 3 APPROVED	ASI-Brain / 16 ASI Connection Core	4	PRESERVED	Whole functional system and project Brain.
HUMAN-ROOT	HUMAN_UNIVERSE	Human Brain nodes	SYS-001	HUMAN				ACTIVE	TASK 3 APPROVED	16 ASI Connection Core	5	PRESERVED	Biological, cognitive, emotional, social, action and lived-experience nodes.
AI-ROOT	AI_UNIVERSE	AI Brain nodes	SYS-001	AI				ACTIVE	TASK 3 APPROVED	16 ASI Connection Core	6	PRESERVED	Machine functions, tools, context, evidence and model mechanisms.
ASI-CONNECTION	CONNECTION_UNIVERSE	Human ↔ AI verified connection and synchronisation	SYS-001	CROSS				ACTIVE	TASK 3 APPROVED	16 ASI Connection Core	7	PRESERVED	Many-to-many verified links; connection itself is ASI under current user correction.
AI-ALIGNED-REGISTRY	AI_PARAMETER_SET	2,514 aligned AI parameter nodes	AI-ROOT	AI				ACTIVE-BY-REFERENCE	TASK 3 APPROVED	02 AI Parameter Registry Control	8	SOURCE-LOCKED	Exact AI row wording remains in ASI-Brain_Task3_Human_AI_Parallel_v0_3.xlsx; not reconstructed.
HUMAN-UNMATCHED-SET	UNMATCHED_SET	46 Human-only unmatched nodes	HUMAN-ROOT	HUMAN				SEPARATE	TASK 3 APPROVED	02 AI Parameter Registry Control	9	PRESERVED	No AI node may be fabricated to fill these slots.
AI-ONLY-SET	UNMATCHED_SET	64 AI-only unmatched nodes	AI-ROOT	AI				SEPARATE	TASK 3 APPROVED	02 AI Parameter Registry Control	10	PRESERVED	AI-NEW-001…AI-NEW-064 remain outside aligned 2,560 until later placement approval.
AI-CAPABILITY-SET	EVIDENCE_SET	74 AI rubric capability nodes	AI-ROOT	AI				EVIDENCE	TASK 3 APPROVED	02 AI Parameter Registry Control	11	PRESERVED	Capability evidence is not automatically a Brain parameter.
BENCHMARK-SET	EVIDENCE_SET	700 four-model measurement events	AI-CAPABILITY-SET	EVIDENCE				LINKED	TASK 3 APPROVED	Forensic_Benchmark_Autopsies_Compiled_Master_4_Models_LIVE	All Measurement Events	PRESERVED	Benchmark events remain evidence, not functions.
SEG-01	HUMAN_SEGMENT	Biological Regulation and Internal State	HUMAN-ROOT	HUMAN	SEG-01			ACTIVE	TASK 2 APPROVED	03 Segments 10	2	PRESERVED	Human cognition is continually influenced by arousal, sleep, energy balance, stress regulation and internal bodily signals. Interoception includes sensing, interpreting and integrating signals from inside the body; research links it with affect, selfhood, regulation and decision-making.
AI-SEG-01	AI_SEGMENT_ID	AI parallel structural segment 1 — exact wording held in canonical Task 3 source	AI-ROOT	AI	AI-SEG-01			ACTIVE-BY-REFERENCE	TASK 3 APPROVED	02 AI Parameter Registry Control	5	SOURCE-LOCKED	ID stable; wording not reconstructed.
SEG-02	HUMAN_SEGMENT	Perception and Body Representation	HUMAN-ROOT	HUMAN	SEG-02			ACTIVE	TASK 2 APPROVED	03 Segments 10	3	PRESERVED	Perception is not passive recording. Sensory input is selected, combined with prior expectations and interpreted in relation to goals, body state and context.
AI-SEG-02	AI_SEGMENT_ID	AI parallel structural segment 2 — exact wording held in canonical Task 3 source	AI-ROOT	AI	AI-SEG-02			ACTIVE-BY-REFERENCE	TASK 3 APPROVED	02 AI Parameter Registry Control	5	SOURCE-LOCKED	ID stable; wording not reconstructed.
SEG-03	HUMAN_SEGMENT	Sensorimotor Action and Physical Execution	HUMAN-ROOT	HUMAN	SEG-03			ACTIVE	TASK 2 APPROVED	03 Segments 10	4	PRESERVED	Human action involves preparation, selection, prediction, bodily control, feedback and correction. Sensorimotor research treats behaviour as more than muscle movement; it includes preparation, learning, agency, control and integration with cognition.
AI-SEG-03	AI_SEGMENT_ID	AI parallel structural segment 3 — exact wording held in canonical Task 3 source	AI-ROOT	AI	AI-SEG-03			ACTIVE-BY-REFERENCE	TASK 3 APPROVED	02 AI Parameter Registry Control	5	SOURCE-LOCKED	ID stable; wording not reconstructed.
SEG-04	HUMAN_SEGMENT	Attention and Executive Control	HUMAN-ROOT	HUMAN	SEG-04			ACTIVE	TASK 2 APPROVED	03 Segments 10	5	PRESERVED	Executive functions are commonly decomposed into working memory, inhibitory control and cognitive flexibility, with higher-order planning and reasoning built from their interaction. Stress, sleep and emotional conditions can alter these functions.
AI-SEG-04	AI_SEGMENT_ID	AI parallel structural segment 4 — exact wording held in canonical Task 3 source	AI-ROOT	AI	AI-SEG-04			ACTIVE-BY-REFERENCE	TASK 3 APPROVED	02 AI Parameter Registry Control	5	SOURCE-LOCKED	ID stable; wording not reconstructed.
SEG-05	HUMAN_SEGMENT	Learning, Memory and Knowledge	HUMAN-ROOT	HUMAN	SEG-05			ACTIVE	TASK 2 APPROVED	03 Segments 10	6	PRESERVED	Human memory is not one storage box. Research distinguishes working memory and multiple long-term systems, including episodic, semantic and procedural memory; expanded taxonomies also distinguish numerous explicit and implicit subtypes.
AI-SEG-05	AI_SEGMENT_ID	AI parallel structural segment 5 — exact wording held in canonical Task 3 source	AI-ROOT	AI	AI-SEG-05			ACTIVE-BY-REFERENCE	TASK 3 APPROVED	02 AI Parameter Registry Control	5	SOURCE-LOCKED	ID stable; wording not reconstructed.
SEG-06	HUMAN_SEGMENT	Reasoning, Planning, Decision and Creativity	HUMAN-ROOT	HUMAN	SEG-06			ACTIVE	TASK 2 APPROVED	03 Segments 10	7	PRESERVED	Reasoning and decision-making depend on attention, working memory, knowledge, emotional state, bodily signals and executive control. Emotional and cognitive routes interact particularly under risk and ambiguity rather than operating as completely independent systems.
AI-SEG-06	AI_SEGMENT_ID	AI parallel structural segment 6 — exact wording held in canonical Task 3 source	AI-ROOT	AI	AI-SEG-06			ACTIVE-BY-REFERENCE	TASK 3 APPROVED	02 AI Parameter Registry Control	5	SOURCE-LOCKED	ID stable; wording not reconstructed.
SEG-07	HUMAN_SEGMENT	Language and Communication	HUMAN-ROOT	HUMAN	SEG-07			ACTIVE	TASK 2 APPROVED	03 Segments 10	8	PRESERVED	Human language includes sound recognition, meaning, grammar, comprehension, production, prediction, pragmatics and social adjustment. Comprehension and production interact rather than functioning as completely separate pipelines.
AI-SEG-07	AI_SEGMENT_ID	AI parallel structural segment 7 — exact wording held in canonical Task 3 source	AI-ROOT	AI	AI-SEG-07			ACTIVE-BY-REFERENCE	TASK 3 APPROVED	02 AI Parameter Registry Control	5	SOURCE-LOCKED	ID stable; wording not reconstructed.
SEG-08	HUMAN_SEGMENT	Emotion, Motivation, Intent and Motive	HUMAN-ROOT	HUMAN	SEG-08			ACTIVE	TASK 2 APPROVED	03 Segments 10	9	PRESERVED	NIMH separates positive-valence and negative-valence systems because reward, threat, loss, frustration and approach/avoidance involve distinguishable processes. Emotion includes experiential, physiological, cognitive and behavioural components.
AI-SEG-08	AI_SEGMENT_ID	AI parallel structural segment 8 — exact wording held in canonical Task 3 source	AI-ROOT	AI	AI-SEG-08			ACTIVE-BY-REFERENCE	TASK 3 APPROVED	02 AI Parameter Registry Control	5	SOURCE-LOCKED	ID stable; wording not reconstructed.
SEG-09	HUMAN_SEGMENT	Consciousness, Self and Social Intelligence	HUMAN-ROOT	HUMAN	SEG-09			ACTIVE	TASK 2 APPROVED	03 Segments 10	10	PRESERVED	Research treats metacognition, consciousness, empathy, theory of mind and social cognition as related but distinguishable processes. Empathy itself is not unitary, and theory of mind involves modelling others’ beliefs and intentions. Theories of consciousness remain actively debated; no single complete theory has been scientifically closed.
AI-SEG-09	AI_SEGMENT_ID	AI parallel structural segment 9 — exact wording held in canonical Task 3 source	AI-ROOT	AI	AI-SEG-09			ACTIVE-BY-REFERENCE	TASK 3 APPROVED	02 AI Parameter Registry Control	5	SOURCE-LOCKED	ID stable; wording not reconstructed.
SEG-10	HUMAN_SEGMENT	Development, Metacognition and Adaptation	HUMAN-ROOT	HUMAN	SEG-10			ACTIVE	TASK 2 APPROVED	03 Segments 10	11	PRESERVED	Metacognition includes monitoring and controlling one’s own perception, memory, decisions and reasoning. Human development also depends on biological maturation, experience, teaching, imitation, cultural transmission and environmental conditions.
AI-SEG-10	AI_SEGMENT_ID	AI parallel structural segment 10 — exact wording held in canonical Task 3 source	AI-ROOT	AI	AI-SEG-10			ACTIVE-BY-REFERENCE	TASK 3 APPROVED	02 AI Parameter Registry Control	5	SOURCE-LOCKED	ID stable; wording not reconstructed.
CON-001	HUMAN_CONTAINER	Homeostasis and Allostasis	SEG-01	HUMAN	SEG-01	CON-001		ACTIVE	TASK 2 APPROVED	04 Containers 80	2	PRESERVED	Homeostasis corrects present imbalance. Allostasis anticipates future need. This can override conscious plans.
AI-CON-001	AI_CONTAINER_ID	AI parallel structural container 001 — exact wording held in canonical Task 3 source	AI-SEG-01	AI	AI-SEG-01	AI-CON-001		ACTIVE-BY-REFERENCE	TASK 3 APPROVED	02 AI Parameter Registry Control	6	SOURCE-LOCKED	ID stable; wording not reconstructed.
CON-002	HUMAN_CONTAINER	Arousal and Wakefulness	SEG-01	HUMAN	SEG-01	CON-002		ACTIVE	TASK 2 APPROVED	04 Containers 80	3	PRESERVED	Controls how much processing capacity is available at a given moment.
AI-CON-002	AI_CONTAINER_ID	AI parallel structural container 002 — exact wording held in canonical Task 3 source	AI-SEG-01	AI	AI-SEG-01	AI-CON-002		ACTIVE-BY-REFERENCE	TASK 3 APPROVED	02 AI Parameter Registry Control	6	SOURCE-LOCKED	ID stable; wording not reconstructed.
CON-003	HUMAN_CONTAINER	Sleep and Circadian Regulation	SEG-01	HUMAN	SEG-01	CON-003		ACTIVE	TASK 2 APPROVED	04 Containers 80	4	PRESERVED	Sleep is not merely inactivity; it changes learning, emotion, attention and memory availability.
AI-CON-003	AI_CONTAINER_ID	AI parallel structural container 003 — exact wording held in canonical Task 3 source	AI-SEG-01	AI	AI-SEG-01	AI-CON-003		ACTIVE-BY-REFERENCE	TASK 3 APPROVED	02 AI Parameter Registry Control	6	SOURCE-LOCKED	ID stable; wording not reconstructed.
CON-004	HUMAN_CONTAINER	Interoception and Internal Body Mapping	SEG-01	HUMAN	SEG-01	CON-004		ACTIVE	TASK 2 APPROVED	04 Containers 80	5	PRESERVED	Converts bodily signals into experienced states such as discomfort, calmness, urgency or “gut feeling.”
AI-CON-004	AI_CONTAINER_ID	AI parallel structural container 004 — exact wording held in canonical Task 3 source	AI-SEG-01	AI	AI-SEG-01	AI-CON-004		ACTIVE-BY-REFERENCE	TASK 3 APPROVED	02 AI Parameter Registry Control	6	SOURCE-LOCKED	ID stable; wording not reconstructed.
CON-005	HUMAN_CONTAINER	Autonomic and Hormonal Regulation	SEG-01	HUMAN	SEG-01	CON-005		ACTIVE	TASK 2 APPROVED	04 Containers 80	6	PRESERVED	Alters emotion, risk-taking, attention, aggression, bonding and effort without requiring conscious approval.
AI-CON-005	AI_CONTAINER_ID	AI parallel structural container 005 — exact wording held in canonical Task 3 source	AI-SEG-01	AI	AI-SEG-01	AI-CON-005		ACTIVE-BY-REFERENCE	TASK 3 APPROVED	02 AI Parameter Registry Control	6	SOURCE-LOCKED	ID stable; wording not reconstructed.
CON-006	HUMAN_CONTAINER	Pain and Protective Signalling	SEG-01	HUMAN	SEG-01	CON-006		ACTIVE	TASK 2 APPROVED	04 Containers 80	7	PRESERVED	Pain is not simply an incoming signal; interpretation and context change the experienced result.
AI-CON-006	AI_CONTAINER_ID	AI parallel structural container 006 — exact wording held in canonical Task 3 source	AI-SEG-01	AI	AI-SEG-01	AI-CON-006		ACTIVE-BY-REFERENCE	TASK 3 APPROVED	02 AI Parameter Registry Control	6	SOURCE-LOCKED	ID stable; wording not reconstructed.
CON-007	HUMAN_CONTAINER	Energy, Fatigue and Resource Budgeting	SEG-01	HUMAN	SEG-01	CON-007		ACTIVE	TASK 2 APPROVED	04 Containers 80	8	PRESERVED	Determines whether a person deploys available capacity, not merely whether capacity exists.
AI-CON-007	AI_CONTAINER_ID	AI parallel structural container 007 — exact wording held in canonical Task 3 source	AI-SEG-01	AI	AI-SEG-01	AI-CON-007		ACTIVE-BY-REFERENCE	TASK 3 APPROVED	02 AI Parameter Registry Control	6	SOURCE-LOCKED	ID stable; wording not reconstructed.
CON-008	HUMAN_CONTAINER	Basic Biological Drives	SEG-01	HUMAN	SEG-01	CON-008		ACTIVE	TASK 2 APPROVED	04 Containers 80	9	PRESERVED	These are foundational motive sources but are shaped—not simply controlled—by cognition and culture.
AI-CON-008	AI_CONTAINER_ID	AI parallel structural container 008 — exact wording held in canonical Task 3 source	AI-SEG-01	AI	AI-SEG-01	AI-CON-008		ACTIVE-BY-REFERENCE	TASK 3 APPROVED	02 AI Parameter Registry Control	6	SOURCE-LOCKED	ID stable; wording not reconstructed.
CON-009	HUMAN_CONTAINER	Visual Perception	SEG-02	HUMAN	SEG-02	CON-009		ACTIVE	TASK 2 APPROVED	04 Containers 80	10	PRESERVED	The same image can produce different meanings depending on expectation, attention and experience.
AI-CON-009	AI_CONTAINER_ID	AI parallel structural container 009 — exact wording held in canonical Task 3 source	AI-SEG-02	AI	AI-SEG-02	AI-CON-009		ACTIVE-BY-REFERENCE	TASK 3 APPROVED	02 AI Parameter Registry Control	6	SOURCE-LOCKED	ID stable; wording not reconstructed.
CON-010	HUMAN_CONTAINER	Auditory Perception	SEG-02	HUMAN	SEG-02	CON-010		ACTIVE	TASK 2 APPROVED	04 Containers 80	11	PRESERVED	Separates meaningful sound sources from competing noise and links sound to probable causes.
AI-CON-010	AI_CONTAINER_ID	AI parallel structural container 010 — exact wording held in canonical Task 3 source	AI-SEG-02	AI	AI-SEG-02	AI-CON-010		ACTIVE-BY-REFERENCE	TASK 3 APPROVED	02 AI Parameter Registry Control	6	SOURCE-LOCKED	ID stable; wording not reconstructed.
CON-011	HUMAN_CONTAINER	Somatosensory Perception	SEG-02	HUMAN	SEG-02	CON-011		ACTIVE	TASK 2 APPROVED	04 Containers 80	12	PRESERVED	Provides both environmental information and continuous feedback about the body.
AI-CON-011	AI_CONTAINER_ID	AI parallel structural container 011 — exact wording held in canonical Task 3 source	AI-SEG-02	AI	AI-SEG-02	AI-CON-011		ACTIVE-BY-REFERENCE	TASK 3 APPROVED	02 AI Parameter Registry Control	6	SOURCE-LOCKED	ID stable; wording not reconstructed.
CON-012	HUMAN_CONTAINER	Smell, Taste and Chemical Sensing	SEG-02	HUMAN	SEG-02	CON-012		ACTIVE	TASK 2 APPROVED	04 Containers 80	13	PRESERVED	Strongly connected with memory, appetite, threat avoidance and emotional association.
AI-CON-012	AI_CONTAINER_ID	AI parallel structural container 012 — exact wording held in canonical Task 3 source	AI-SEG-02	AI	AI-SEG-02	AI-CON-012		ACTIVE-BY-REFERENCE	TASK 3 APPROVED	02 AI Parameter Registry Control	6	SOURCE-LOCKED	ID stable; wording not reconstructed.
CON-013	HUMAN_CONTAINER	Multisensory Integration	SEG-02	HUMAN	SEG-02	CON-013		ACTIVE	TASK 2 APPROVED	04 Containers 80	14	PRESERVED	Produces one coherent experience from multiple incomplete and sometimes conflicting signals.
