Component	My Input	Improvement	Why	Outcome Change	Flaw	Fix	Remarks	Example	Base
1. Point Zero	Most leveraged node; quality of every downstream node depends on it.	Make intake 3-field: literal ask, underlying goal, success criteria.	Same words hide different problems; one field cannot disambiguate.	Routes deep vs shallow correctly; stops over-engineering trivia.	Undefined granularity; 'the question' is itself a question.	Force a structured intake before any loop starts.	Garbage in = garbage out &#8212; the rest of the engine cannot recover from a bad seed.	'Should I quit?' &#8594; literal=job, goal=peace, success=clarity (not certainty).	Einstellung effect; Kahneman frame-dependence.
2. Noise Stripper	Useful, but lossy if it discards the wrong static.	Two-pass: keep raw + stripped side-by-side, not stripped only.	In humans, the static often IS the signal (tone, omission, repetition).	Catches hidden agenda the 'clean' version erases.	Strips too aggressively; can remove the actual driver.	Side-buffer for discarded noise; revisit if Resolution fails.	Don't optimize signal-to-noise without first defining 'signal'.	Rambling rant strips to 'wants raise'; the rambling held the resentment.	Active listening; context-dependent S/N ratio.
3. Exhaustive Analysis (Sub-Loops 1-5)	Black box &#8212; 5 unnamed sub-loops can't be audited or taught.	Name them: Decompose, Map dependencies, Stress-test, Cross-domain analogy, Reverse-engineer goal.	Unnamed loops risk doing the same thing 5x and calling it depth.	Makes the engine inspectable, repeatable, improvable.	Arbitrary count; 5 may be too few or too many per problem.	Make loop count adaptive; halt when a loop adds no new variable.	Depth without structure is repetition, not analysis.	For 'should I quit': finance / skills / identity / network / health.	Polya 'How to Solve It'; OODA.
4. Simplicity Filter (Occam)	Parallel to Exhaustive with no defined merge rule &#8212; risks contradiction.	Run Exhaustive first; use Occam as a compression test on its output.	Parallel rails without an arbitration node create a race condition.	Prevents premature simplification AND prevents complexity bloat.	Occam fails on multi-cause problems (medicine, systems, politics).	Pair with Hickam's Dictum check: 'could it be more than one cause?'	Simplicity is a tiebreaker, not a truth-test.	Fatigue: Occam = depression. Reality = depression + anemia + sleep apnea.	William of Occam; Hickam's Dictum.
5. Core Gate (Human Layer)	Powerful for interpersonal problems; harmful when forced on structural ones.	Add a routing check: Human / Structural / Hybrid before applying Mask-Wound-Loyalty.	Not every problem has a wound; some have a memory leak.	Stops false-humanizing material problems and false-mechanizing human ones.	Forces psychology onto non-psychological problems.	Pre-route by problem type; apply Human Layer only when it fits.	The three lenses (Mask / Wound / Loyalty) are excellent &#8212; just don't universalize them.	Server crash isn't a wound, it's a memory leak. Boss's silence might be a wound.	Eric Berne (Games People Play) + root-cause engineering.
6. Resolution Gateway	Binary check assumes the problem was framed right; often it wasn't.	Three-state output: Solved / Partial / Wrong-question (kick back to Point Zero).	Most failure is solving the right problem perfectly when the question was wrong.	Catches reframe needs early instead of looping forever on a mis-framed problem.	No path back to Point Zero &#8212; only forward to Logic Wall.	Add a 'reframe exit' that returns to step 1, not step 5.	The most common silent failure mode in any reasoning engine.	User asks 'how to apologize to boss'; real question is 'should I.'	Russell Ackoff: problem-finding > problem-solving.
7. Halt & Output	Treats every output as equal weight; misses stakes & reversibility.	Output object = {answer, confidence%, reversibility, what-would-change-this}.	Halting on a one-way door &#8800; halting on a two-way door; user must see the difference.	Lets the user gate action by stakes; prevents over-confident irreversible moves.	Flat output hides the most important variable: reversibility.	Tag every halt with reversibility + falsification trigger.	Confidence without reversibility is half a decision.	'Try this 2-week experiment' vs 'quit job' &#8212; same engine, different stakes.	Bezos one-way / two-way doors.
8. Critical Logic Wall	Lumps two failure modes &#8212; stagnation (no data) vs paralysis (too many valid paths).	Split into Data Wall &#8594; Fuel Injector; Choice Wall &#8594; forced constraint.	Each failure mode needs a different unstick; one tool fits neither well.	Routes to the correct tool faster, reduces wasted fuel-injection on choice problems.	Same response to two different problems = wrong response half the time.	Add a diagnostic gate: 'Am I missing data or missing a tiebreaker?'	Most 'thinking harder' is actually choice-paralysis, not data-gap.	Can't pick between 3 jobs = choice wall. Can't see why model fails = data wall.	Buridan's ass; analysis paralysis literature.
9. Self-Healing Regime	Reactive only &#8212; runs after each loop. Misses input-side drift.	Run pre-loop AND post-loop; aviation does pre-flight + debrief, both matter.	Auditing after a bad framing is post-mortem; pre-check prevents it.	Catches biased framing before cycles are wasted.	After-only auditing optimizes for explanation, not prevention.	Add a 60-second pre-check: 'What is active in me today that could distort this?'	The strongest node in the architecture if extended to pre-loop.	Pre-check catches: 'I'm angry today, so my read on this person is suspect.'	NTSB retros + aviation checklist culture.
10. Synthetic Fuel Injector	Most powerful AND most dangerous node &#8212; generates novelty AND delusion.	Tag every fiction-output as [SYNTHETIC] in working memory; require evidence to promote it.	Counterfactuals can quietly become beliefs ('hallucination drift') without a tag.	Keeps the engine from inventing then trusting its own inventions.	No fact-check between fiction and 'fact'; Reality Anchor only checks drift from Point Zero, not internal fabrication.	Mandatory falsification step after every fuel-injected output before it enters main loop.	Apostatic Inversion + Heuristic Fiction are gold &#8212; the audit gate is what's missing.	'Imagine boss is secretly firing me' = useful stress test, dangerous as a belief.	Vaihinger 'As If' tempered by Popper falsifiability.
