Container ID	Container number	Segment ID	Segment name	Slot 1–8	Container name	Target count	Selected parameter names (pipe-delimited)	Reserve count	Reserve parameter names (pipe-delimited)	Selected start sequence	Selected end sequence	Reserve start sequence	Reserve end sequence	Container scope	Container interpretation	Main filters/modulators	Source path	Selection note
CON-001	1.0	SEG-01	Biological Regulation and Internal State	1.0	Homeostasis and Allostasis	36.0	Core temperature setpoint|Thermal correction|Fluid/osmotic balance|Blood volume regulation|Oxygen demand sensing|CO2 tolerance|Glucose regulation|Insulin/glucagon signalling|Electrolyte balance|pH/acid-base control|Blood pressure regulation|Heart-rate baseline|Respiratory rate control|Metabolic rate setting|Energy substrate switching|Fat/glycogen mobilisation|Appetite setpoint|Satiety signalling|Anticipatory (allostatic) adjustment|Load prediction|Pre-emptive mobilisation|Recovery/return-to-baseline|Setpoint recalibration|Circadian coupling|Seasonal adjustment|Illness compensation|Fever regulation|Immune-metabolic coupling|Inflammation modulation|Hydration prioritisation|Salt appetite|Waste clearance drive|Sweat/evaporative control|Shivering/heat generation|Vasoconstriction/dilation|Survival prioritisation override	4.0	Allostatic load accumulation|Chronic-stress wear|Resource-conflict arbitration|Homeostatic urgency signal	1.0	36.0	1.0	4.0	Temperature balance, fluid balance, oxygen need, glucose regulation, metabolic stability, anticipatory regulation, internal correction, survival prioritisation	Homeostasis corrects present imbalance. Allostasis anticipates future need. This can override conscious plans.	Illness, environment, exertion, nutrition, hydration, age, chronic stress, medication	05_PARAMETER_PYRAMID/ASI_Claude_Parameters.docx	Target 36 from corrected 2,560 architecture. Exact names are carried from the 3,204-name ASI_Claude_Parameters v1.0 source in source order. Any source names above the target are preserved in Held Reserve. Six visible candidates are separately marked in Core Reasoning because its target is 48 while the exact source list contains 42 names.
CON-002	2.0	SEG-01	Biological Regulation and Internal State	2.0	Arousal and Wakefulness	28.0	Global alertness|Cortical activation|Tonic arousal level|Phasic arousal bursts|Vigilance readiness|Reticular activation|Stimulus responsiveness|Reaction readiness|Mental intensity|Processing capacity gating|Consciousness level|Orientation to time/place|Wake maintenance|Drowsiness onset|Micro-sleep intrusion|Alertness decay|Re-alerting|Startle readiness|Novelty-driven arousal|Threat-driven arousal|Reward-driven arousal|Caffeine/stimulant modulation|Time-of-day modulation|Fatigue dampening|Boredom under-arousal|Over-arousal/agitation|Optimal arousal window|Yerkes-Dodson tuning	12.0	Effort-linked activation|Autonomic co-activation|Pupil-linked arousal index|Locus-coeruleus tone|Noradrenergic gain|Attentional bandwidth setting|Signal-to-noise gain|Response-threshold setting|Freeze/immobility state|Hyperarousal state|Hypoarousal/lethargy|Arousal recovery	37.0	64.0	5.0	16.0	Alertness, activation, vigilance, readiness, responsiveness, mental intensity, consciousness level, orientation	Controls how much processing capacity is available at a given moment.	Sleep loss, threat, novelty, caffeine, medication, time of day, stress, boredom	05_PARAMETER_PYRAMID/ASI_Claude_Parameters.docx	Target 28 from corrected 2,560 architecture. Exact names are carried from the 3,204-name ASI_Claude_Parameters v1.0 source in source order. Any source names above the target are preserved in Held Reserve. Six visible candidates are separately marked in Core Reasoning because its target is 48 while the exact source list contains 42 names.
CON-003	3.0	SEG-01	Biological Regulation and Internal State	3.0	Sleep and Circadian Regulation	28.0	Homeostatic sleep pressure|Adenosine accumulation|Circadian timing (clock phase)|Melatonin signalling|Light entrainment|Sleep onset latency|Sleep initiation|NREM stage 1|NREM stage 2|Slow-wave (deep) sleep|REM sleep|Sleep-cycle sequencing|Sleep-stage transitions|Arousal threshold in sleep|Awakening|Sleep inertia|Restoration/repair|Glymphatic clearance|Memory consolidation support|Emotional memory processing|Dream generation|Nightmare/threat rehearsal|Sleep depth regulation|Sleep fragmentation|Nap pressure|Chronotype (morning/evening)|Jet-lag/phase shift|Shift-work disruption	12.0	Sleep-debt accumulation|Recovery sleep rebound|Wake-after-onset control|Circadian temperature rhythm|Circadian hormone rhythm|Sleep-wake switch stability|Orexin/wakefulness drive|Sleep spindle activity|Slow oscillation coupling|Sleep-dependent skill gain|Sleep-related mood regulation|Sleep quality perception	65.0	92.0	17.0	28.0	Sleep pressure, circadian timing, sleep onset, sleep stages, awakening, restoration, dream state, memory consolidation support	Sleep is not merely inactivity; it changes learning, emotion, attention and memory availability.	Light exposure, routine, age, stress, substances, illness, shift work, environment	05_PARAMETER_PYRAMID/ASI_Claude_Parameters.docx	Target 28 from corrected 2,560 architecture. Exact names are carried from the 3,204-name ASI_Claude_Parameters v1.0 source in source order. Any source names above the target are preserved in Held Reserve. Six visible candidates are separately marked in Core Reasoning because its target is 48 while the exact source list contains 42 names.
CON-004	4.0	SEG-01	Biological Regulation and Internal State	4.0	Interoception and Internal Body Mapping	32.0	Heartbeat detection|Cardiac awareness accuracy|Breathing sensation|Air-hunger/dyspnea|Hunger signalling|Thirst signalling|Fullness/satiety sensing|Gut/visceral state|Nausea sensing|Bladder/bowel pressure|Core-temperature feeling|Muscle tension sensing|Fatigue sensation|Pain-precursor unease|Cardiovascular effort feeling|Blood-sugar 'low' feeling|Nausea-linked aversion|Flush/heat sensation|Chill/cold sensation|Dizziness/vertigo|Palpitation awareness|Interoceptive prediction|Prediction-error signalling|Interoceptive attention|Interoceptive accuracy|Interoceptive sensibility|Body-signal interpretation|Gut-feeling formation|Urgency signalling|Comfort/discomfort mapping|Craving signalling|Withdrawal sensing	8.0	Sexual arousal sensing|Anxiety somatic markers|Calm/parasympathetic feeling|Effort/exertion sensing|Recovery sensation|Homeostatic emotion (hunger→irritability)|Somatic-marker tagging|Bodily-self grounding	93.0	124.0	29.0	36.0	Heartbeat awareness, breathing, hunger, thirst, fullness, gut state, temperature, fatigue, tension, internal pain, bodily unease	Converts bodily signals into experienced states such as discomfort, calmness, urgency or “gut feeling.”	Attention, anxiety, expectation, illness, body awareness, trauma, training, cultural interpretation	05_PARAMETER_PYRAMID/ASI_Claude_Parameters.docx	Target 32 from corrected 2,560 architecture. Exact names are carried from the 3,204-name ASI_Claude_Parameters v1.0 source in source order. Any source names above the target are preserved in Held Reserve. Six visible candidates are separately marked in Core Reasoning because its target is 48 while the exact source list contains 42 names.
CON-005	5.0	SEG-01	Biological Regulation and Internal State	5.0	Autonomic and Hormonal Regulation	32.0	Sympathetic activation|Fight-or-flight mobilisation|Parasympathetic recovery|Rest-and-digest tone|Vagal tone/HRV|Baroreflex control|Adrenaline release|Noradrenaline release|HPA-axis stress response|Cortisol signalling|Acute-stress mobilisation|Chronic-stress dysregulation|Blood-glucose mobilisation|Metabolic hormone signalling|Thyroid modulation|Leptin/ghrelin appetite axis|Insulin sensitivity shift|Reproductive-hormone signalling|Menstrual-cycle modulation|Pregnancy adaptation|Testosterone modulation|Estrogen/progesterone modulation|Oxytocin/bonding signalling|Vasopressin regulation|Dopaminergic drive modulation|Serotonergic mood modulation|Immune-endocrine coupling|Inflammatory signalling|Sweating/thermoregulatory autonomic|Pupil dilation/constriction|Digestive motility control|Cardiac output modulation	8.0	Vasomotor control|Bronchial modulation|Sexual physiological response|Startle autonomic burst|Freeze/vasovagal response|Recovery/allostatic reset|Circadian hormonal timing|Stress-recovery balance	125.0	156.0	37.0	44.0	Sympathetic activation, parasympathetic recovery, stress response, reproductive signalling, metabolic signalling, hormonal modulation, bodily mobilisation	Alters emotion, risk-taking, attention, aggression, bonding and effort without requiring conscious approval.	Acute stress, chronic stress, sex, age, medication, menstrual cycle, pregnancy, illness	05_PARAMETER_PYRAMID/ASI_Claude_Parameters.docx	Target 32 from corrected 2,560 architecture. Exact names are carried from the 3,204-name ASI_Claude_Parameters v1.0 source in source order. Any source names above the target are preserved in Held Reserve. Six visible candidates are separately marked in Core Reasoning because its target is 48 while the exact source list contains 42 names.
CON-006	6.0	SEG-01	Biological Regulation and Internal State	6.0	Pain and Protective Signalling	28.0	Nociception (mechanical)|Nociception (thermal)|Nociception (chemical)|Fast (sharp) pain|Slow (dull) pain|Pain intensity coding|Pain localisation|Pain quality discrimination|Experienced (perceived) pain|Injury detection|Tissue-damage signalling|Withdrawal reflex|Guarding/protective posture|Avoidance learning|Pain-related fear|Pain anticipation|Pain prediction error|Central sensitisation|Peripheral sensitisation|Wind-up amplification|Hyperalgesia|Allodynia|Descending inhibition|Endogenous analgesia|Placebo analgesia|Nocebo amplification|Stress-induced analgesia|Attentional pain modulation	12.0	Distraction relief|Catastrophising amplification|Pain memory|Chronic-pain maintenance|Referred pain mapping|Visceral pain sensing|Itch/pruritic signalling|Pain-affect (unpleasantness)|Pain tolerance setting|Pain threshold setting|Social-context modulation|Recovery/desensitisation	157.0	184.0	45.0	56.0	Nociception, experienced pain, injury protection, withdrawal, avoidance, sensitisation, pain prediction, pain memory	Pain is not simply an incoming signal; interpretation and context change the experienced result.	Attention, expectation, fear, context, past injury, social support, fatigue, medication	05_PARAMETER_PYRAMID/ASI_Claude_Parameters.docx	Target 28 from corrected 2,560 architecture. Exact names are carried from the 3,204-name ASI_Claude_Parameters v1.0 source in source order. Any source names above the target are preserved in Held Reserve. Six visible candidates are separately marked in Core Reasoning because its target is 48 while the exact source list contains 42 names.
CON-007	7.0	SEG-01	Biological Regulation and Internal State	7.0	Energy, Fatigue and Resource Budgeting	24.0	Physical fatigue sensing|Peripheral muscle fatigue|Central (brain) fatigue|Mental fatigue|Cognitive-effort cost|Effort valuation|Effort discounting|Resource allocation|Metabolic budgeting|ATP/glycogen tracking|Depletion expectation|Reserve estimation|Endurance pacing|Pacing strategy|Perceived exertion (RPE)|Recovery-need signalling|Rest-seeking drive|Conservation drive|Sleepiness-vs-fatigue distinction|Motivation-fatigue interaction|Boredom-linked depletion|Willpower/ego-depletion signal|Task-persistence budgeting|Attention-resource limit	16.0	Working-memory load cost|Switching-cost accounting|Fatigue-driven error rise|Vigilance decrement|Second-wind/reserve access|Effort mobilisation on reward|Overtraining/burnout signal|Chronic-fatigue state|Sickness-behaviour lethargy|Warm-up/readiness cost|Cool-down/recovery curve|Energy-availability feeling|Hunger-linked effort drop|Hydration-linked effort drop|Circadian energy dips|Capacity-vs-deployment gap	185.0	208.0	57.0	72.0	Physical fatigue, mental fatigue, effort cost, resource allocation, recovery need, endurance, depletion expectation, conservation	Determines whether a person deploys available capacity, not merely whether capacity exists.	Sleep, nutrition, illness, workload, reward, mood, motivation, fitness	05_PARAMETER_PYRAMID/ASI_Claude_Parameters.docx	Target 24 from corrected 2,560 architecture. Exact names are carried from the 3,204-name ASI_Claude_Parameters v1.0 source in source order. Any source names above the target are preserved in Held Reserve. Six visible candidates are separately marked in Core Reasoning because its target is 48 while the exact source list contains 42 names.
CON-008	8.0	SEG-01	Biological Regulation and Internal State	8.0	Basic Biological Drives	28.0	Hunger drive|Thirst drive|Salt/mineral appetite|Shelter seeking|Warmth seeking|Cooling seeking|Elimination drive|Sleep drive|Air/breathing drive|Sexual drive|Mate-seeking drive|Caregiving/nurturing drive|Attachment/proximity drive|Physical-safety drive|Bodily-comfort drive|Cleanliness/grooming drive|Pain-avoidance drive|Exploration/curiosity drive|Novelty seeking|Play drive|Territory/space drive|Resource-acquisition drive|Hoarding/saving drive|Dominance drive|Affiliation drive|Disgust/contamination avoidance|Rest/relaxation drive|Stimulation seeking	12.0	Escape drive|Approach drive|Withdrawal drive|Nesting/home-making drive|Protective/defence drive|Aggression drive|Fear-flight drive|Freeze drive|Satiation/cessation signal|Drive prioritisation|Drive-conflict arbitration|Cultural drive shaping	209.0	236.0	73.0	84.0	Hunger, thirst, shelter, temperature seeking, elimination, sexual drive, caregiving drive, physical safety, bodily comfort	These are foundational motive sources but are shaped—not simply controlled—by cognition and culture.	Deprivation, hormones, culture, age, safety, relationship state, goals, inhibition	05_PARAMETER_PYRAMID/ASI_Claude_Parameters.docx	Target 28 from corrected 2,560 architecture. Exact names are carried from the 3,204-name ASI_Claude_Parameters v1.0 source in source order. Any source names above the target are preserved in Held Reserve. Six visible candidates are separately marked in Core Reasoning because its target is 48 while the exact source list contains 42 names.
CON-009	9.0	SEG-02	Perception and Body Representation	1.0	Visual Perception	36.0	Light/luminance detection|Contrast sensitivity|Colour discrimination|Colour constancy|Edge detection|Orientation coding|Line/contour integration|Shape recognition|Figure-ground segregation|Texture perception|Depth from stereopsis|Depth from motion parallax|Monocular depth cues|Size constancy|Shape constancy|Motion detection|Motion direction coding|Speed perception|Biological-motion detection|Object recognition|Object constancy|Face detection|Face identity recognition|Facial-expression reading|Gaze-direction perception|Scene recognition (gist)|Spatial-layout perception|Visual search|Peripheral vision use|Foveal detail resolution|Visual attention allocation|Change detection|Visual prediction/filling-in|Perceptual grouping (Gestalt)|Symmetry detection|Reading/word-form recognition	4.0	Number/quantity estimation|Visual illusions susceptibility|Brightness adaptation|Visual expertise tuning	237.0	272.0	85.0	88.0	Light, colour, edge, shape, depth, motion, object recognition, face recognition, scene recognition, visual reading, visual prediction	The same image can produce different meanings depending on expectation, attention and experience.	Lighting, attention, expectation, expertise, eyesight, fatigue, emotion, context	05_PARAMETER_PYRAMID/ASI_Claude_Parameters.docx	Target 36 from corrected 2,560 architecture. Exact names are carried from the 3,204-name ASI_Claude_Parameters v1.0 source in source order. Any source names above the target are preserved in Held Reserve. Six visible candidates are separately marked in Core Reasoning because its target is 48 while the exact source list contains 42 names.
CON-010	10.0	SEG-02	Perception and Body Representation	2.0	Auditory Perception	32.0	Sound detection|Loudness perception|Pitch perception|Timbre discrimination|Frequency resolution|Temporal resolution|Rhythm perception|Beat/metre tracking|Melody perception|Harmony perception|Sound onset detection|Duration perception|Sound localisation (horizontal)|Sound localisation (vertical)|Distance perception|Speech-sound (phoneme) coding|Prosody perception|Speaker identification|Speaker separation (cocktail party)|Auditory stream segregation|Figure-ground (auditory)|Environmental-sound recognition|Alarm/warning detection|Music perception|Emotional-tone perception|Auditory attention|Auditory prediction|Gap detection|Masking resistance|Noise suppression|Echo/reverberation handling|Auditory scene analysis	8.0	Auditory memory (echoic)|Tonal-language pitch use|Auditory expertise (musicians)|Startle-sound response|Voice familiarity|Sound-source motion tracking|Loudness adaptation|Tinnitus/internal-sound sensing	273.0	304.0	89.0	96.0	Pitch, loudness, rhythm, speech sounds, music, sound localisation, speaker separation, environmental sound recognition	Separates meaningful sound sources from competing noise and links sound to probable causes.	Noise, language familiarity, hearing ability, attention, emotion, expectation, age	05_PARAMETER_PYRAMID/ASI_Claude_Parameters.docx	Target 32 from corrected 2,560 architecture. Exact names are carried from the 3,204-name ASI_Claude_Parameters v1.0 source in source order. Any source names above the target are preserved in Held Reserve. Six visible candidates are separately marked in Core Reasoning because its target is 48 while the exact source list contains 42 names.
