#,Version / Concept,Core Strength,Main Sequence,Halt / Gap Handling,Evidence & Verification,Output Style,Parameter Depth,Purity / Raw Preservation,Risk / Evil Flag,Best For,Major Weakness & Impact,Overall Score
1,Gemini Split Lanes Halt,Fast gap decision,Point Zero → Purity → Halt → Path A/B,Excellent Dual-Path,Basic Ledger,Dual Draft + Calibration,Medium,Strong,Medium,Quick fixes,"Too mechanical, kills depth",7.8/10
2,Gemini Recursive Halt,Nested simulation,Point Zero → Raw → Halt → Sub-loop,Strong nested,Basic,Dual Option,Medium-High,Strong,Medium,Ambiguous cases,Can hallucinate assumptions,7.9/10
3,URR v0.1 Master Sequence,Clean structured flow,Point Zero → Raw → Purity → Evidence → Falsifier → Halt,Good,Evidence Ledger + Falsifier,Dual Option,High,Very Strong,Good,General use,No strong RAG layer,8.4/10
4,URR v0.2 Verified Stack,Evidence-first grounding,v0.1 + Retrieval + Claim Check + Multi-source + Constrained,Strong,RAG + CoVe + Multi-source,Constrained Verified,Very High,Excellent,Very Strong,Factual / Legal / Technical,"Slower, complex",9.1/10
5,Unreal to Real Core,Raw + Wild Path separation,Reality Path vs Wild Path,Good,Separate paths,Parallel Paths,High,Excellent,Strong,Theory / Mystery / Personal,Less structured for long chains,8.6/10
6,Raw Definition Engine,Raw sovereignty + versioning,Raw → Mirror → Category → Definition → Validation → Risk,Medium,Versioning + Validation,Versioned Definitions,Very High,Best,Very Strong,Personal meaning engine,Heavy manual review,8.7/10
7,Purity Test Grouping,Philosophical depth,"Multi-volume (Epistemology, Physics, Ancient, Psychology)",Medium,Pattern + Intent,Layered volumes,Very High,Strong,Good,"Holy books, deep patterns","Too broad, less operational",8.0/10
8,RD World Chain,Practical workflow + Pattern Library,Raw Pile → Converter → Review → Ledger → Output,Good,Pattern Library + Review,User-controlled patterns,High,Strong,Strong,Daily thinking,Still evolving,8.5/10
9,Gemini Point Zero + Purity,Strong baseline + filter,Point Zero → Raw → Purity Filter → Evidence → Halt,Good,Evidence Ledger,Structured,High,Strong,Medium,Starting strong,Limited recursion,8.1/10
10,Halt Gate Triggered (Multiple Gemini),Clear decision tree,Point Zero → Purity → Halt → Dual Path,Excellent,Basic + User Gate,Dual Option,Medium,Strong,Medium,Gap handling,Repetitive,7.7/10
11,Raw Definition + Mirror Focus,Mirror before interpretation,Raw → Mirror → Everything else,Medium,Mirror + Validation,Mirror-first,Very High,Excellent,Strong,Preserving user voice,Slow for long chains,8.6/10
12,Evidence Ledger Heavy,Strong fact mapping,Evidence Ledger as central node,Good,Heavy Ledger,Ledger-focused,High,Strong,Strong,Factual accuracy,Can become too heavy,8.2/10
13,Wild Path Protection,Strong personal theory,Always separate Wild Path,Good,Reality vs Wild,Parallel,High,Excellent,Strong,Invention / Exploration,Risk of mixing unreal with real,8.4/10
14,Eternal Loop + Self-Heal,Long chain recursion,Full 50-point loop with self-heal,Strong,Self-Heal at end,Recursive,Very High,Strong,Strong,Long complex analysis,Can cause token overload,8.3/10
15,URR v01 (Compiled Final),Best of all + no skip,Point Zero + URR at every step in any chain,Excellent,RAG + CoVe + Multi-source + Versioning,Dual + Constrained + Versioned,Very High,Excellent,Very Strong,Your full NBE goal,Needs careful automation later,9.4/10
