AI-only ID	Status	Placement	Exact wording	Preservation rule
AI-NEW-001	TASK 3 APPROVED — SEPARATE	UNMATCHED / NOT FORCED	Exact wording retained in canonical Task 3 raw workbook	Do not reconstruct, rename, or assign a Human parent without later user review.
AI-NEW-002	TASK 3 APPROVED — SEPARATE	UNMATCHED / NOT FORCED	Exact wording retained in canonical Task 3 raw workbook	Do not reconstruct, rename, or assign a Human parent without later user review.
AI-NEW-003	TASK 3 APPROVED — SEPARATE	UNMATCHED / NOT FORCED	Exact wording retained in canonical Task 3 raw workbook	Do not reconstruct, rename, or assign a Human parent without later user review.
AI-NEW-004	TASK 3 APPROVED — SEPARATE	UNMATCHED / NOT FORCED	Exact wording retained in canonical Task 3 raw workbook	Do not reconstruct, rename, or assign a Human parent without later user review.
AI-NEW-005	TASK 3 APPROVED — SEPARATE	UNMATCHED / NOT FORCED	Exact wording retained in canonical Task 3 raw workbook	Do not reconstruct, rename, or assign a Human parent without later user review.
AI-NEW-006	TASK 3 APPROVED — SEPARATE	UNMATCHED / NOT FORCED	Exact wording retained in canonical Task 3 raw workbook	Do not reconstruct, rename, or assign a Human parent without later user review.
AI-NEW-007	TASK 3 APPROVED — SEPARATE	UNMATCHED / NOT FORCED	Exact wording retained in canonical Task 3 raw workbook	Do not reconstruct, rename, or assign a Human parent without later user review.
AI-NEW-008	TASK 3 APPROVED — SEPARATE	UNMATCHED / NOT FORCED	Exact wording retained in canonical Task 3 raw workbook	Do not reconstruct, rename, or assign a Human parent without later user review.
AI-NEW-009	TASK 3 APPROVED — SEPARATE	UNMATCHED / NOT FORCED	Exact wording retained in canonical Task 3 raw workbook	Do not reconstruct, rename, or assign a Human parent without later user review.
AI-NEW-010	TASK 3 APPROVED — SEPARATE	UNMATCHED / NOT FORCED	Exact wording retained in canonical Task 3 raw workbook	Do not reconstruct, rename, or assign a Human parent without later user review.
AI-NEW-011	TASK 3 APPROVED — SEPARATE	UNMATCHED / NOT FORCED	Exact wording retained in canonical Task 3 raw workbook	Do not reconstruct, rename, or assign a Human parent without later user review.
AI-NEW-012	TASK 3 APPROVED — SEPARATE	UNMATCHED / NOT FORCED	Exact wording retained in canonical Task 3 raw workbook	Do not reconstruct, rename, or assign a Human parent without later user review.
AI-NEW-013	TASK 3 APPROVED — SEPARATE	UNMATCHED / NOT FORCED	Exact wording retained in canonical Task 3 raw workbook	Do not reconstruct, rename, or assign a Human parent without later user review.
AI-NEW-014	TASK 3 APPROVED — SEPARATE	UNMATCHED / NOT FORCED	Exact wording retained in canonical Task 3 raw workbook	Do not reconstruct, rename, or assign a Human parent without later user review.
AI-NEW-015	TASK 3 APPROVED — SEPARATE	UNMATCHED / NOT FORCED	Exact wording retained in canonical Task 3 raw workbook	Do not reconstruct, rename, or assign a Human parent without later user review.
AI-NEW-016	TASK 3 APPROVED — SEPARATE	UNMATCHED / NOT FORCED	Exact wording retained in canonical Task 3 raw workbook	Do not reconstruct, rename, or assign a Human parent without later user review.
